id,label
banjir_0007,N
banjir_0004,N
banjir_0017,Y
banjir_0027,N
banjir_0021,N
banjir_0031,N
banjir_0041,N
banjir_0046,N
banjir_0043,N
banjir_0062,N
banjir_0067,Y
banjir_0061,N
banjir_0080,Y
banjir_0069,N
banjir_0072,N
banjir_0103,Y
banjir_0096,N
banjir_0101,N
banjir_0108,N
banjir_0119,N
banjir_0117,N
banjir_0145,N
banjir_0131,N
banjir_0137,N
banjir_0163,N
banjir_0165,N
banjir_0161,N
banjir_0182,Y
banjir_0172,Y
banjir_0170,N
banjir_0202,N
banjir_0191,N
banjir_0201,N
banjir_0221,N
banjir_0209,N
banjir_0210,N
banjir_0244,N
banjir_0240,N
banjir_0245,N
banjir_0262,Y
banjir_0254,N
banjir_0251,N
banjir_0279,N
banjir_0278,N
banjir_0281,N
banjir_0300,Y
banjir_0306,N
banjir_0298,N
banjir_0309,Y
banjir_0312,Y
banjir_0318,N
banjir_0338,Y
banjir_0341,N
banjir_0330,N
banjir_0349,Y
banjir_0357,Y
banjir_0366,N
banjir_0384,N
banjir_0375,N
banjir_0371,N
banjir_0388,N
banjir_0404,N
banjir_0401,N
banjir_0416,Y
banjir_0419,N
banjir_0426,N
banjir_0442,N
banjir_0443,Y
banjir_0434,N
banjir_0465,Y
banjir_0459,N
banjir_0456,N
banjir_0470,N
banjir_0484,N
banjir_0471,N
banjir_0498,Y
banjir_0496,N
banjir_0493,N
banjir_0522,N
banjir_0524,N
banjir_0510,N
banjir_0530,Y
banjir_0534,N
banjir_0532,N
banjir_0563,Y
banjir_0567,N
banjir_0561,N
banjir_0579,Y
banjir_0568,N
banjir_0575,N
banjir_0588,Y
banjir_0601,Y
banjir_0598,N
banjir_0623,Y
banjir_0613,N
banjir_0615,N
banjir_0628,Y
banjir_0641,N
banjir_0646,Y
banjir_0667,N
banjir_0662,N
banjir_0664,N
banjir_0675,N
banjir_0679,N
banjir_0676,N
banjir_0698,N
banjir_0694,N
banjir_0701,N
banjir_0717,N
banjir_0712,N
banjir_0716,N
banjir_0743,N
banjir_0734,N
banjir_0745,N
banjir_0756,N
banjir_0749,N
banjir_0765,N
banjir_0774,Y
banjir_0782,N
banjir_0779,N
banjir_0802,N
banjir_0794,Y
banjir_0790,N
banjir_0809,N
banjir_0806,N
banjir_0815,N
banjir_0840,Y
banjir_0844,N
banjir_0834,N
banjir_0859,Y
banjir_0858,N
banjir_0846,Y
banjir_0869,Y
banjir_0871,N
banjir_0867,N
banjir_0892,N
banjir_0899,N
banjir_0903,Y
banjir_0909,N
banjir_0910,N
banjir_0908,Y
banjir_0937,N
banjir_0939,N
banjir_0934,N
banjir_0949,Y
banjir_0962,N
banjir_0950,Y
banjir_0979,Y
banjir_0971,N
banjir_0978,N
banjir_0988,Y
banjir_0990,Y
banjir_1002,N
banjir_1023,N
banjir_1016,N
banjir_1011,N
banjir_1035,N
banjir_1031,N
banjir_1032,N
banjir_1059,N
banjir_1063,N
banjir_1060,N
banjir_1072,Y
banjir_1079,N
banjir_1065,Y
banjir_1087,N
banjir_1102,Y
banjir_1086,Y
banjir_1113,Y
banjir_1107,N
banjir_1110,N
banjir_1142,N
banjir_1137,N
banjir_1144,N
banjir_1159,Y
banjir_1153,N
banjir_1160,N
banjir_1174,Y
banjir_1184,N
banjir_1178,N
banjir_1196,N
banjir_1187,N
banjir_1201,N
banjir_1214,N
banjir_1216,N
banjir_1219,Y
banjir_1244,Y
banjir_1237,N
banjir_1234,N
banjir_0803,N
banjir_0344,Y
banjir_0854,N
banjir_0174,Y
banjir_0015,Y
banjir_0929,N
banjir_0227,N
banjir_0768,N
banjir_0810,N
banjir_0199,N
banjir_0927,N
