id,label
gempa_0006,Y
gempa_0011,N
gempa_0008,N
gempa_0029,N
gempa_0021,N
gempa_0039,N
gempa_0041,N
gempa_0045,N
gempa_0042,N
gempa_0066,N
gempa_0061,N
gempa_0054,N
gempa_0083,N
gempa_0075,N
gempa_0082,N
gempa_0104,Y
gempa_0089,N
gempa_0101,N
gempa_0108,Y
gempa_0110,N
gempa_0109,N
gempa_0145,N
gempa_0144,N
gempa_0134,N
gempa_0153,N
gempa_0150,N
gempa_0165,N
gempa_0184,N
gempa_0181,N
gempa_0185,Y
gempa_0195,N
gempa_0201,N
gempa_0206,N
gempa_0225,N
gempa_0223,N
gempa_0213,Y
gempa_0246,Y
gempa_0230,N
gempa_0235,N
gempa_0253,Y
gempa_0262,N
gempa_0247,N
gempa_0285,N
gempa_0286,N
gempa_0279,N
gempa_0302,N
gempa_0296,N
gempa_0295,N
gempa_0316,Y
gempa_0321,N
gempa_0318,N
gempa_0326,Y
gempa_0328,N
gempa_0335,N
gempa_0346,N
gempa_0360,N
gempa_0363,N
gempa_0373,N
gempa_0378,N
gempa_0380,N
gempa_0397,N
gempa_0388,N
gempa_0393,N
gempa_0408,Y
gempa_0417,N
gempa_0410,N
gempa_0441,N
gempa_0432,N
gempa_0436,Y
gempa_0446,Y
gempa_0450,N
gempa_0465,N
gempa_0480,N
gempa_0482,N
gempa_0467,N
gempa_0502,N
gempa_0491,N
gempa_0497,N
gempa_0511,Y
gempa_0513,N
gempa_0517,N
gempa_0540,N
gempa_0528,N
gempa_0535,Y
gempa_0560,Y
gempa_0557,N
gempa_0563,N
gempa_0575,Y
gempa_0583,N
gempa_0566,N
gempa_0603,N
gempa_0594,N
gempa_0586,N
gempa_0614,N
gempa_0624,N
gempa_0606,N
gempa_0636,N
gempa_0628,N
gempa_0637,N
gempa_0661,Y
gempa_0654,N
gempa_0652,N
gempa_0672,N
gempa_0680,N
gempa_0671,N
gempa_0697,Y
gempa_0689,N
gempa_0686,N
gempa_0720,N
gempa_0705,N
gempa_0718,N
gempa_0739,Y
gempa_0728,N
gempa_0725,Y
gempa_0751,N
gempa_0749,N
gempa_0748,N
gempa_0768,N
gempa_0771,N
gempa_0779,N
gempa_0797,N
gempa_0786,N
gempa_0794,N
gempa_0805,N
gempa_0818,N
gempa_0809,N
gempa_0832,N
gempa_0825,N
gempa_0838,N
gempa_0849,N
gempa_0856,N
gempa_0862,N
gempa_0875,N
gempa_0884,N
gempa_0877,Y
gempa_0892,N
gempa_0902,N
gempa_0898,N
gempa_0907,N
gempa_0920,N
gempa_0921,N
gempa_0940,N
gempa_0937,N
gempa_0941,N
gempa_0956,N
gempa_0954,N
gempa_0951,N
gempa_0970,Y
gempa_0975,N
gempa_0981,N
gempa_1000,N
gempa_0995,Y
gempa_0997,N
gempa_1009,N
gempa_1003,N
gempa_1013,N
gempa_1025,Y
gempa_1027,N
gempa_1029,N
gempa_1037,N
gempa_1034,N
gempa_1036,N
gempa_1046,N
gempa_1044,N
gempa_1052,Y
gempa_1074,Y
gempa_1075,N
gempa_1059,N
gempa_1078,N
gempa_1091,N
gempa_1086,N
gempa_1117,Y
gempa_1109,Y
gempa_1105,N
gempa_1132,Y
gempa_1118,N
gempa_1126,N
gempa_1146,N
gempa_1157,N
gempa_1138,N
gempa_1176,N
gempa_1173,N
gempa_1168,N
gempa_1183,N
gempa_1196,N
gempa_1192,N
gempa_1214,N
gempa_1205,N
gempa_1201,N
gempa_0518,N
gempa_0040,N
gempa_1061,N
gempa_1097,N
gempa_0843,Y
gempa_0506,N
gempa_0871,N
gempa_0615,N
gempa_0967,N
gempa_0258,Y
gempa_0137,N
